0.042980527,516,0.22%,0.00%,0.00%,0.58%,0.39%,1.74%,3.29%,3.88%,4.07%,5.23%,13.37%,14.92%,12.79%,10.66%,14.15%,9.11%,3.68%,2.13%,6.59%,8.14%,44.96%,27.52%,10.27%,0.78%,0.00%,1.74%,49,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.08%,4.08%,0.00%,10.20%,14.29%,20.41%,18.37%,12.24%,12.24%,4.08%,0.00%,4.08%,4.08%,53.06%,36.73%,2.04%,0.00%,0.00%,0.00%,98.26 ,89.58 ,98.25,98.89,87.6,14,14,100,155,0,9,9,100,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,536.5,378,3780,221,3838,236484,103884,43.92855331,90739,36.80 ,12,33.33%,3,13,0.00%,0,2,
0.05029513,755,0.31%,0.00%,0.13%,0.13%,0.40%,1.99%,4.11%,5.56%,6.36%,6.62%,10.33%,16.69%,14.30%,6.62%,12.98%,7.81%,3.97%,1.99%,3.97%,7.55%,54.83%,32.58%,0.00%,0.66%,0.00%,0.40%,58,0.00%,0.00%,0.00%,3.45%,5.17%,3.45%,3.45%,3.45%,6.90%,12.07%,10.34%,18.97%,10.34%,13.79%,5.17%,1.72%,1.72%,10.34%,6.90%,56.90%,25.86%,0.00%,0.00%,0.00%,0.00%,98.01 ,92.73 ,97.82,98.52,90.86,78,78,100,126,0,0,0,0,0,0,0,0,0,0,0,127,127,100,0,0,0,0,0,0,0,0,0,0,0,,,,,,4321,243484,145015,59.55832827,102560,42.67 ,22,4.55%,1,70,1.43%,0,2,
0.052549371,55,0.09%,0.00%,0.00%,0.00%,0.00%,7.27%,23.64%,16.36%,12.73%,5.45%,10.91%,5.45%,9.09%,3.64%,1.82%,0.00%,3.64%,0.00%,3.64%,5.45%,18.18%,60.00%,10.91%,0.00%,0.00%,1.82%,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,94.55 ,100.00 ,98.04,96.00,85.45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,100,82,0,0,0,0,0,0,,,,,,732,64405,27196,42.22653521,20939,29.02 ,2,0.00%,0,1,0.00%,0,3,
0.055938216,678,0.20%,0.00%,0.88%,0.29%,1.47%,2.65%,7.23%,11.50%,12.24%,11.50%,14.90%,12.24%,10.03%,3.69%,4.13%,3.98%,2.65%,0.59%,2.51%,10.18%,31.71%,36.87%,9.44%,7.08%,0.88%,1.33%,52,0.00%,0.00%,0.00%,5.77%,1.92%,1.92%,5.77%,1.92%,3.85%,9.62%,25.00%,17.31%,5.77%,5.77%,7.69%,3.85%,3.85%,13.46%,0.00%,32.69%,48.08%,3.85%,0.00%,0.00%,1.92%,100.00 ,96.00 ,100.00,99.84,97.49,32,30,93.8,63,0,1,0,0,3,3,0,0,0,0,0,362,352,97.2,0,90,77,85.6,0,0,0,0,0,0,0,746.9,,,,,4425,343393,542239,157.9062474,392345,94.44 ,37,5.41%,2,40,0.00%,0,3,
0.059786287,3015,0.44%,0.00%,0.00%,0.13%,0.66%,1.76%,2.39%,3.18%,2.39%,3.28%,9.32%,14.16%,16.45%,10.85%,17.05%,10.68%,5.14%,2.55%,6.00%,7.93%,58.74%,24.05%,2.72%,0.43%,0.10%,0.03%,320,0.00%,0.00%,0.00%,0.94%,1.25%,0.94%,0.00%,3.13%,0.94%,3.75%,15.00%,18.13%,16.25%,14.38%,12.19%,7.81%,5.31%,3.75%,5.00%,65.94%,25.31%,0.00%,0.00%,0.00%,0.00%,98.04 ,87.66 ,96.58,98.56,86.33,411,402,97.8,518,5,110,101,91.8,109,0,112,102,91.1,0,0,3392,3269,96.4,1,3750,3442,91.8,0,0,0,0,0,0,0,,,,,,6603,677787,494757,72.9959412,349193,55.59 ,84,7.14%,5,73,4.11%,1,1,
0.063541149,360,0.25%,0.00%,0.00%,0.28%,1.11%,2.50%,5.56%,6.67%,8.06%,13.33%,13.89%,15.28%,13.33%,5.00%,8.61%,4.17%,1.67%,0.56%,10.56%,5.56%,39.44%,23.06%,11.11%,9.72%,0.00%,0.56%,16,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,12.50%,6.25%,12.50%,18.75%,25.00%,12.50%,0.00%,0.00%,6.25%,6.25%,0.00%,62.50%,31.25%,0.00%,0.00%,0.00%,0.00%,98.33 ,93.75 ,98.52,96.10,84.72,15,15,100,175,0,0,0,0,0,0,10,10,100,0,0,71,71,100,0,0,0,0,0,0,0,0,0,0,0,,,,,,2515,146354,66754,45.61132596,51769,39.45 ,2,0.00%,0,3,0.00%,0,1,
0.068638964,233,0.14%,0.00%,0.00%,0.00%,1.72%,3.00%,6.01%,4.29%,6.44%,9.01%,15.45%,17.17%,14.59%,6.01%,7.73%,4.29%,3.00%,1.29%,13.73%,7.30%,20.60%,25.75%,30.90%,0.00%,0.00%,1.72%,19,0.00%,0.00%,0.00%,5.26%,0.00%,5.26%,0.00%,10.53%,5.26%,21.05%,10.53%,5.26%,10.53%,10.53%,5.26%,5.26%,5.26%,26.32%,0.00%,42.11%,31.58%,0.00%,0.00%,0.00%,0.00%,97.42 ,94.44 ,95.75,96.06,81.97,32,32,100,32,0,100,100,100,102,0,8,8,100,0,0,388,388,100,0,200,200,100,0,0,0,0,0,0,0,,,,,,2642,171556,111545,65.01958544,82955,41.91 ,6,0.00%,0,10,0.00%,0,2,
0.080306701,2983,0.23%,0.00%,0.00%,0.03%,0.50%,4.76%,12.14%,16.43%,13.85%,8.41%,9.52%,8.98%,10.06%,5.30%,5.50%,2.35%,1.17%,1.01%,42.11%,5.60%,14.72%,24.74%,11.67%,0.94%,0.07%,0.17%,118,0.00%,0.00%,0.00%,1.69%,7.63%,14.41%,11.02%,6.78%,3.39%,5.93%,6.78%,14.41%,11.86%,6.78%,5.93%,1.69%,1.69%,39.83%,5.93%,23.73%,30.51%,0.00%,0.00%,0.00%,0.00%,99.03 ,95.33 ,98.64,98.77,93.73,305,296,97,1629,1,905,903,99.8,1777,5,0,0,0,0,0,12120,12120,100,10,0,0,0,0,0,2,0,0,4,0,,,,,,48561,1288342,846872,65.7334776,440415,32.20 ,455,0.66%,3,418,0.24%,1,2,
0.083488376,1091,0.29%,0.00%,0.09%,0.09%,0.46%,1.65%,4.31%,9.44%,6.78%,5.04%,10.45%,12.83%,16.68%,7.61%,10.82%,7.42%,4.31%,2.02%,6.78%,9.53%,41.34%,36.21%,4.95%,0.46%,0.09%,0.64%,118,0.00%,0.00%,0.00%,0.85%,0.85%,3.39%,5.08%,3.39%,2.54%,3.39%,13.56%,18.64%,12.71%,16.95%,6.78%,5.08%,6.78%,5.08%,6.78%,27.12%,58.47%,1.69%,0.00%,0.00%,0.85%,96.98 ,96.08 ,97.23,98.14,81.39,125,120,96,185,0,25,24,96,58,0,50,48,96,32,0,1512,1434,94.8,1,2000,0,0,0,0,0,0,0,0,0,,,,,,5438,372807,149176,40.01427012,130377,32.50 ,21,14.29%,3,39,0.00%,0,1,
0.084594472,779,0.29%,0.00%,0.00%,0.39%,0.90%,2.18%,2.05%,4.88%,6.16%,6.68%,12.45%,14.63%,16.43%,10.14%,12.71%,5.78%,3.34%,1.28%,6.55%,11.17%,51.99%,17.59%,10.40%,1.54%,0.51%,0.26%,40,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,5.00%,5.00%,12.50%,7.50%,27.50%,7.50%,5.00%,15.00%,7.50%,2.50%,10.00%,2.50%,40.00%,37.50%,5.00%,0.00%,0.00%,5.00%,97.43 ,92.11 ,97.08,96.85,86.52,26,26,100,59,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6807,268941,163122,60.65345187,150301,48.54 ,8,37.50%,1,9,0.00%,0,2,
